iter	Passed	Remaining
0	0	902
1	1	831
2	2	787
3	3	761
4	3	733
5	4	717
6	4	698
7	5	682
8	6	681
9	6	674
10	7	667
11	8	658
12	8	654
13	9	647
14	9	646
15	10	646
16	11	643
17	11	647
18	12	651
19	13	649
20	13	647
21	14	646
22	15	643
23	15	642
24	16	640
25	17	638
26	17	636
27	18	634
28	18	632
29	19	631
30	20	631
31	20	630
32	21	629
33	22	628
34	22	627
35	23	626
36	24	625
37	24	624
38	25	625
39	26	624
40	26	623
41	27	622
42	27	621
43	28	620
44	29	619
45	29	618
46	30	617
47	31	616
48	31	616
49	32	615
50	33	615
51	33	613
52	34	612
53	34	611
54	35	609
55	36	608
56	36	609
57	37	609
58	38	609
59	38	607
60	39	608
61	40	606
62	40	605
63	41	606
64	42	605
65	42	604
66	43	602
67	43	602
68	44	601
69	45	600
70	45	600
71	46	599
72	47	597
73	47	597
74	48	596
75	49	595
76	49	594
77	50	594
78	51	594
79	51	594
80	52	594
81	53	594
82	53	593
83	54	592
84	55	592
85	55	591
86	56	590
87	56	590
88	57	592
89	58	594
90	59	593
91	60	593
92	60	592
93	61	591
94	62	591
95	62	591
96	63	590
97	64	589
98	64	589
99	65	588
100	66	588
101	66	588
102	67	587
103	68	587
104	68	587
105	69	586
106	70	586
107	70	585
108	71	585
109	72	585
110	72	584
111	73	585
112	74	585
113	75	585
114	76	585
115	76	585
116	77	585
117	78	584
118	78	584
119	79	583
120	80	582
121	80	581
122	81	580
123	82	579
124	82	578
125	83	577
126	83	576
127	84	575
128	85	574
129	85	573
130	86	572
131	86	572
132	87	571
133	88	571
134	89	571
135	89	571
136	90	570
137	91	570
138	91	569
139	92	568
140	93	567
141	93	566
142	94	566
143	95	565
144	95	564
145	96	563
146	96	562
147	97	561
148	98	561
149	98	560
150	99	560
151	100	559
152	101	559
153	101	558
154	102	558
155	103	557
156	103	557
157	104	557
158	105	556
159	105	555
160	106	555
161	107	554
162	107	553
163	108	552
164	109	552
165	109	551
166	110	550
167	111	549
168	111	548
169	112	548
170	113	548
171	113	548
172	114	547
173	115	546
174	115	545
175	116	545
176	117	544
177	117	543
178	118	543
179	119	542
180	119	541
181	120	540
182	121	540
183	121	539
184	122	538
185	122	537
186	123	537
187	124	536
188	124	536
189	125	535
190	126	534
191	126	534
192	127	533
193	128	532
194	128	531
195	129	531
196	130	530
197	130	529
198	131	529
199	132	528
200	132	527
201	133	527
202	134	526
203	134	526
204	135	525
205	136	524
206	136	524
207	137	523
208	138	522
209	138	522
210	139	521
211	140	521
212	140	520
213	141	519
214	142	518
215	142	517
216	143	517
217	143	516
218	144	515
219	145	515
220	145	514
221	146	513
222	147	513
223	147	512
224	148	511
225	149	510
226	149	510
227	150	509
228	151	509
229	152	509
230	152	508
231	153	507
232	154	506
233	154	506
234	155	505
235	155	504
236	156	504
237	157	503
238	157	502
239	158	502
240	159	501
241	159	500
242	160	500
243	161	499
244	161	498
245	162	497
246	163	497
247	163	496
248	164	496
249	165	495
250	166	495
251	166	495
252	167	494
253	168	494
254	168	493
255	169	492
256	170	492
257	171	491
258	171	491
259	172	491
260	173	490
261	173	490
262	174	489
263	175	488
264	176	488
265	176	487
266	177	487
267	178	486
268	178	486
269	179	485
270	180	485
271	181	485
272	181	484
273	182	484
